STOP ID,X-COORDINATE,Y-COORDINATE,STOP TYPE
3,2.8396178152302074,0.08558002060356816,dem
11,4.117802428263029,0.1080606319941455,dem
1,5.0,0.1,chk
9,1.6811339850842488,0.08110069189960603,dem
8,5.712930320291175,0.1638449250017696,dem
18,5.687498674827496,0.059286913334378216,dem
17,3.4257883492843244,0.17815341999131948,dem
15,6.502238661919813,0.08742163816985869,walk
4,6.800412026165786,0.09928672089270592,dem
12,7.01183466409457,0.16265988681728946,dem
6,7.2931445555804775,0.012136688666619877,dem
13,7.471671040553701,0.06393152055598848,dem
1,5.0,0.1,chk
7,8.094966460637028,0.18702191617514563,dem
20,8.837085837543952,0.09657268453451484,walk
22,6.492498680157153,0.17487993711636785,dem
5,9.947997028796019,0.11597201465314391,dem
24,4.191190083199049,0.10747153065846848,dem
2,10.0,0.1,chk
1,5.0,0.1,chk
28,5.626276427782299,0.1286808053164784,dem
21,9.813780715495056,0.16599102197441362,dem
2,10.0,0.1,chk
26,7.029121172019428,0.05728709925562965,dem
29,0.28414118145898115,0.1022285572737745,dem
31,4.612699975115796,0.19911479147762712,dem
1,5.0,0.1,chk
25,8.399405257702334,0.07387607760295127,dem
23,9.532318734768241,0.19675041856268793,dem
30,2.932103195457695,0.09759916079051972,dem
2,10.0,0.1,chk
32,6.639768974084302,0.14819123365267664,dem
35,3.625989599380887,0.11850886100616542,dem
1,5.0,0.1,chk
27,8.213421592921875,0.0194026285129995,dem
34,8.550428595016356,0.13405832287202715,dem
38,6.192748702644721,0.027031394001946586,dem
2,10.0,0.1,chk
39,6.583086257988508,0.17991540105033785,dem
47,9.43411912264064,0.07968891689758817,dem
2,10.0,0.1,chk
