STOP ID,X-COORDINATE,Y-COORDINATE,STOP TYPE
6,0.8627480525872683,0.4336222423986913,dem
337,0.6836585704730436,0.25487566486504865,dem
918,1.386517912207218,0.3993817479300332,dem
1,1.6666666666666665,0.5,chk
4,2.0583672228639687,0.27645989317143727,dem
280,2.564712139894703,0.87600371279113,dem
7,2.9843260905519218,0.9935332081196667,dem
1,1.6666666666666665,0.5,chk
2,3.333333333333333,0.5,chk
1982,3.0869708055037277,0.3295597524997165,dem
5,4.518348350023347,0.09655622993204904,dem
1983,3.2647760954886387,0.6634052326007301,dem
1231,4.63752220282579,0.828419053092579,dem
1386,3.1649043057158273,0.9801534902938057,dem
8,4.828643110548336,0.8021839329578546,dem
1979,2.9854809751360234,0.8516244283937169,dem
1385,4.75167965633537,0.3192979527107207,dem
1380,4.871561443970901,0.2575279838419072,dem
2,3.333333333333333,0.5,chk
1232,4.982283281797118,0.4458704237671326,dem
3,5.0,0.5,chk
1985,3.589689244886703,0.6115006009208217,dem
1984,4.366039691689594,0.9641531166265316,dem
1981,4.246048438007465,0.006978442616081049,dem
1998,4.809132324532637,0.14793819120417423,walk
3,5.0,0.5,chk
