REQUEST ID,TIME OF REQUEST,REQUEST TYPE,ODEMAND X,ODEMAND Y,DDEMAND X,DDEMAND Y,ACCEPTED/REJECTED,PICKUP ID,PICKUP X,PICKUP Y,WAIT TIME,P WALK TIME,DELTA_T,COST,DROPOFF ID,DROPOFF X,DROPOFF Y,RIDE TIME,D WALK TIME,DELTA_T,COST
4,148,PRD,1.6666666666666665,0.5,1.7792538950593224,0.44356523273336523,True,1,1.6666666666666665,0.5,304,0.0,0.0,0.0,7,1.884945324279654,0.46912175857090965,608,0.0,37.088688288,27.8447335996
6,477,RPD,1.9906367534999858,0.49467828440845407,3.333333333333333,0.5,True,7,1.884945324279654,0.46912175857090965,583,94.4985276417,0,0,2,3.333333333333333,0.5,652,0.0,0.0,0.0
10,984,RPD,2.6816187935398874,0.506359854922292,3.333333333333333,0.5,True,124,2.6816187935398874,0.506359854922292,396,0.0,10.0,5.0,2,3.333333333333333,0.5,332,0.0,0.0,0.0
11,1139,RPD,1.1459644573613514,0.3504471731211005,1.6666666666666665,0.5,True,280,1.1459644573613514,0.3504471731211005,372,0.0,184.93899234,46.416976202,1,1.6666666666666665,0.5,408,0.0,0.0,0.0
3,14,PRD,1.6666666666666665,0.5,3.3376276336458215,0.10972021878004479,True,1,1.6666666666666665,0.5,438,0.0,0.0,0.0,6,3.3867465462536495,0.2699571077274701,1616,0.0,197.334294986,49.528713637
7,710,PRD,3.333333333333333,0.5,3.4358654588614774,0.43019399667489544,True,2,3.333333333333333,0.5,1002,0.0,0.0,0.0,6,3.3867465462536495,0.2699571077274701,356,150.73617712,0,0
15,1264,PRD,1.6666666666666665,0.5,2.3690099462276257,0.6274898448259686,True,1,1.6666666666666665,0.5,655,0.0,0.0,0.0,348,2.3690099462276257,0.6274898448259686,480,0.0,71.1951255165,17.8625263015
14,1223,RPD,1.0110613017191001,0.5494388219849604,3.333333333333333,0.5,True,347,1.0110613017191001,0.5494388219849604,516,0.0,33.7306345528,8.45737804919,2,3.333333333333333,0.5,933,0.0,0.0,0.0
16,1341,PRD,3.333333333333333,0.5,4.772895046562574,0.546952790309196,True,2,3.333333333333333,0.5,371,0.0,0.0,0.0,349,4.772895046562574,0.546952790309196,1141,0.0,32.5373393484,16.2921460694
2,-258,RPD,0.18395729752011425,0.4162386907672788,5.0,0.5,True,5,0.18395729752011425,0.4162386907672788,323,0.0,50.2054284317,12.5932377625,3,5.0,0.5,2865,0.0,0.0,0.0
9,959,PD,1.6666666666666665,0.5,5.0,0.5,True,1,1.6666666666666665,0.5,41,0.0,0.0,0.0,3,5.0,0.5,1930,0.0,0.0,0.0
5,334,RPD,1.9349298321022919,0.26479350753978625,5.0,0.5,True,8,1.9349298321022919,0.26479350753978625,798,0.0,95.8104280929,24.0419928858,3,5.0,0.5,1798,0.0,0.0,0.0
1,-369,RPD,3.5421701469001503,0.613227326198387,5.0,0.5,True,4,3.5421701469001503,0.613227326198387,1992,0.0,164.590787087,41.3087288417,3,5.0,0.5,1307,0.0,0.0,0.0
0,-594,PD,3.333333333333333,0.5,5.0,0.5,True,2,3.333333333333333,0.5,2306,0.0,0.0,0.0,3,5.0,0.5,1218,0.0,0.0,0.0
18,1543,PD,3.333333333333333,0.5,5.0,0.5,True,2,3.333333333333333,0.5,169,0.0,0.0,0.0,3,5.0,0.5,1218,0.0,0.0,0.0
19,1931,RPD,3.76073899581482,0.17704205250529348,5.0,0.5,True,351,3.76073899581482,0.17704205250529348,260,0.0,54.5992265066,136.544523794,3,5.0,0.5,739,0.0,0.0,0.0
20,2207,RPD,3.4635982487623385,0.7851130460024144,5.0,0.5,True,352,3.4635982487623385,0.7851130460024144,220,0.0,274.944481318,618.9010668,3,5.0,0.5,503,0.0,0.0,0.0
24,2562,RPD,4.839944833848387,0.5786111439247086,5.0,0.5,True,356,4.839944833848387,0.5786111439247086,256,0.0,42.1838978972,105.493269637,3,5.0,0.5,112,0.0,0.0,0.0
28,3015,PRD,3.333333333333333,0.5,3.5659197414557253,0.41402055789883374,True,2,3.333333333333333,0.5,185,0.0,0.0,0.0,371,3.5659197414557253,0.41402055789883374,76,0.0,10.0,20.0
22,2380,PRD,3.333333333333333,0.5,3.995094327171473,0.022086036884206073,True,2,3.333333333333333,0.5,292,0.0,0.0,0.0,354,3.995094327171473,0.022086036884206073,813,0.0,239.398702296,179.787983703
